Ref,Val,Package,PosX,PosY,Rot,Side
"R1417","150","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",186.000000,-68.000000,0.000000,top
"R1418","360","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",171.000000,-61.500000,-90.000000,top
"R1419","6.8","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",173.000000,-69.000000,-90.000000,top
"R1420","30","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",176.500000,-65.000000,-90.000000,top
"R1421","150","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",167.000000,-66.000000,0.000000,top
"R1422","150","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",167.000000,-56.000000,0.000000,top
"R1501","0","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",148.000000,-75.000000,-90.000000,top
"R1502","0","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",140.000000,-64.000000,90.000000,top
"R1601","10","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",100.000000,-78.000000,-90.000000,top
"R1602","18","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",120.000000,-94.000000,0.000000,top
"R1603","8.2K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",108.000000,-74.000000,0.000000,top
"R1604","300","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",124.000000,-94.000000,0.000000,top
"R1605","300","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",115.000000,-94.000000,180.000000,top
"R1606","1.6K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",108.000000,-69.000000,0.000000,top
"R1607","1.5K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",113.000000,-73.000000,-90.000000,top
"R1608","6.8","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",115.000000,-59.000000,180.000000,top
"R1609","120","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",113.000000,-63.500000,90.000000,top
"R1610","36","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",93.000000,-80.000000,90.000000,top
"R1611","150","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",92.000000,-76.000000,180.000000,top
"R1612","150","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",88.000000,-81.000000,180.000000,top
"R1701","0","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",76.000000,-124.000000,0.000000,top
"R1702","0","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",88.000000,-85.000000,180.000000,top
"R1801","82","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",96.500000,-144.000000,180.000000,top
"R1804","82","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",96.525000,-140.500000,180.000000,top
"R1805","82","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",121.000000,-144.000000,180.000000,top
"R1807","39K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",96.000000,-130.000000,180.000000,top
"R1808","39K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",105.000000,-137.000000,90.000000,top
"R1809","390","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",101.000000,-139.000000,0.000000,top
"R1810","39K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",113.000000,-139.000000,90.000000,top
"R1811","39K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",127.500000,-133.000000,180.000000,top
"R1812","390","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",127.500000,-138.000000,0.000000,top
"R1813","270K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",109.000000,-139.000000,180.000000,top
"R1814","270K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",70.000000,-105.000000,0.000000,top
"R1815","10K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",107.000000,-131.000000,0.000000,top
"R1816","10K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",123.000000,-131.000000,90.000000,top
