Ref,Val,Package,PosX,PosY,Rot,Side
"R1107","10K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",99.000000,-113.000000,0.000000,top
"R1108","100K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",95.500000,-115.500000,90.000000,top
"R1109","1K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",111.000000,-124.000000,90.000000,top
"R1110","10K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",78.000000,-113.000000,90.000000,top
"R1111","10K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",83.000000,-120.000000,0.000000,top
"R1112","470","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",110.025000,-117.000000,180.000000,top
"R1113","10K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",105.000000,-122.000000,0.000000,top
"R1114","47K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",99.500000,-121.000000,270.000000,top
"R1201","2.7","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",236.500000,-101.000000,0.000000,top
"R1304","18","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",140.500000,-134.000000,180.000000,top
"R1305","36","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",150.000000,-126.000000,270.000000,top
"R1307","300","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",139.500000,-139.000000,270.000000,top
"R1308","300","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",144.000000,-135.000000,270.000000,top
"R1309","150","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",146.000000,-128.000000,180.000000,top
"R1310","150","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",146.000000,-124.500000,180.000000,top
"R1316","6.8K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",181.500000,-128.500000,180.000000,top
"R1317","3.3K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",175.000000,-125.000000,270.000000,top
"R1318","100","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",171.500000,-129.000000,180.000000,top
"R1319","4.7K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",171.500000,-125.500000,180.000000,top
"R1601","470","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",234.000000,-144.500000,0.000000,top
"R1602","10K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",200.500000,-133.500000,270.000000,top
